PID,Monitored Facility,Contingency Name,lo_facility,lo_outage,Earliest,Latest
7225,NWTap - Purdue 138 kV l/o Westwood-TippLabs 138 kV,L138.Westwood-Tippecanoe,NWTAP - PURDUE 138 KV,WESTWOOD-TIPPLABS 138 KV,2018-10-20 09:00:00-04:00,2018-11-16 08:00:00-05:00
7250,Turkey Hill - Ashley 138 kV l/o Prairie St - W Mt Vernon 345 kV,Prairie State-W Mt. Vernon 345,TURKEY HILL - ASHLEY 138 KV,PRAIRIE ST - W MT VERNON 345 KV,2018-03-03 06:00:00-05:00,2018-11-10 16:00:00-05:00
7254,NWTap - Purdue 138 kV l/o Westwood-TippLabs 138 kV,Westwood-Tippecanoe Labs 138 kV,NWTAP - PURDUE 138 KV,WESTWOOD-TIPPLABS 138 KV,2018-11-09 18:35:00-05:00,2018-11-09 18:50:00-05:00
7257,Segreto - Palisades2 345 kV l/o Covert - Palisades 345 kV,L345.Covert-Palisades,SEGRETO - PALISADES2 345 KV,COVERT - PALISADES 345 KV,2018-10-31 09:00:00-04:00,2018-11-09 13:00:00-05:00
7264,Segreto - Palisades2 345 kV l/o Covert - Palisades 345 kV,Covert - Palisades 345 kV,SEGRETO - PALISADES2 345 KV,COVERT - PALISADES 345 KV,2018-10-30 07:40:00-04:00,2018-11-07 11:35:00-05:00
7279,Segreto-Palisades 2 345 kV l/o Covert-Palisades 345 kV,L345.Covert-Palisades,SEGRETO-PALISADES 2 345 KV,COVERT-PALISADES 345 KV,2018-10-29 07:00:00-04:00,2018-10-30 13:00:00-04:00
7284,W. Mt Vernon-W. Salem 138kV l/o Coffeen-Roxford 345kV,Coffeen-Roxfd 345,W. MT VERNON-W. SALEM 138 KV,COFFEEN-ROXFORD 345 KV,2018-07-25 22:20:00-04:00,2018-10-29 19:45:00-04:00
7305,Fargo 345/138 kv Xfmr l/o Duck Creek-Ipava 345 kV,Ipava-Duck Creek 345 kV,FARGO 345/138 KV XFMR,DUCK CREEK-IPAVA 345 KV,2018-10-02 13:50:00-04:00,2018-10-18 13:15:00-04:00
7360,Dune Acres-Michigan City 13843 l/o Dune Acres-Michigan City 13839,L138.Dune Acres-Michigan City.#1,DUNE ACRES-MICHIGAN CITY 13843,DUNE ACRES-MICHIGAN CITY 13839,2018-10-05 05:00:00-04:00,2018-10-07 09:00:00-04:00
7370,Dune Acres-Michigan City 13843 l/o Dune Acres-Michigan City 13839,Dune Acre-Michigan City #1,DUNE ACRES-MICHIGAN CITY 13843,DUNE ACRES-MICHIGAN CITY 13839,2018-09-30 16:25:00-04:00,2018-10-04 11:05:00-04:00
7406,Merom - Dresser 345 kV l/o Merom - Worthington 345 kV,Merom - Worthington 345 kV,MEROM - DRESSER 345 KV,MEROM - WORTHINGTON 345 KV,2018-09-20 18:25:00-04:00,2018-09-20 20:05:00-04:00
7422,Newton - Louisvil 138 kV l/o Mount Vernon - Xenia 345 kV,Mt Vernon-Xenia 345 kV,NEWTON - LOUISVIL 138 KV,MOUNT VERNON - XENIA 345 KV,2018-09-05 20:40:00-04:00,2018-09-19 16:15:00-04:00
7432,HollandNW-NeogaS 345 kV l/o Coffeen-Pana 345 kV,Coffeen-Pana 345kV,HOLLANDNW-NEOGAS 345 KV,COFFEEN-PANA 345 KV,2017-09-21 14:00:00-04:00,2018-09-17 17:30:00-04:00
7460,Boone Hydro 161/138 kV Xfmr l/o Nagel 500/138 kV Xfmr,Nagel 500/138,BOONE HYDRO 161/138 KV XFMR,NAGEL 500/138 KV XFMR,2018-09-11 16:40:00-04:00,2018-09-11 21:25:00-04:00
7510,Bosserman-Michigan City 138 kV l/o Babcock-Stillwell 345 kV,L345.Babcock-Stillwell+345/138.Stillwell.1,BOSSERMAN-MICHIGAN CITY 138 KV,BABCOCK-STILLWELL 345 KV,2018-08-19 09:00:00-04:00,2018-08-19 20:00:00-04:00
7512,Michigan City-Bosserman 138 kV l/o Olive 345 XFMR 2,345/138.Olive.T2,MICHIGAN CITY-BOSSERMAN 138 KV,OLIVE 345 XFMR 2,2017-04-17 06:00:00-04:00,2018-08-17 08:00:00-04:00
7527,Summer Shade TVA-Summer Shade Tap 161kV l/o SummerShade(TVA)-SummerShade(EKPC),Summer Shade(TVA)-Summer Shade (EKPC),SUMMER SHADE TVA-SUMMER SHADE TAP 161 KV,SUMMERSHADE(TVA)-SUMMERSHADE(EKPC),2018-07-09 17:20:00-04:00,2018-08-14 14:15:00-04:00
7560,Northwest Tap-Purdue 138kV l/o Westwood-Tippecan 138kV,L138.Westwood-Tippecanoe,NORTHWEST TAP-PURDUE 138 KV,WESTWOOD-TIPPECAN 138 KV,2018-06-26 00:00:00-04:00,2018-07-20 14:00:00-04:00
7561,Northwest Tap-Purdue 138kV l/o Westwood-Tippecan 138kV,Westwood-Tippencan 138 kV,NORTHWEST TAP-PURDUE 138 KV,WESTWOOD-TIPPECAN 138 KV,2018-06-25 16:25:00-04:00,2018-07-20 11:45:00-04:00
7608,Purdue-Northwest Tap 138kV l/o Westwood-Tippecan 138kV,Westwood-Tippencan 138 kV,PURDUE-NORTHWEST TAP 138 KV,WESTWOOD-TIPPECAN 138 KV,2018-06-25 10:00:00-04:00,2018-06-25 11:05:00-04:00
7645,Clifty Creek-Buffington 345 kV l/o Tanners Creek-Dearborn 345 kV,Dearborn-Tanners Creek 345 kV ckt 1,CLIFTY CREEK-BUFFINGTON 345 KV,TANNERS CREEK-DEARBORN 345 KV,2018-06-04 14:40:00-04:00,2018-06-05 20:40:00-04:00
7680,NWtap-Purdue 138 kV l/o Cayuga-Cayuga3 345 kV,Cayuga2-Cayuga3 345 kV,NWTAP-PURDUE 138 KV,CAYUGA-CAYUGA3 345 KV,2018-05-25 15:45:00-04:00,2018-05-31 18:00:00-04:00
7720,Michigan City-Bosserman 138 kV l/o Babcock-Stillwell 345 kV and XF 1,L345.Babcock-Stillwell+345/138.Stillwell.1,MICHIGAN CITY-BOSSERMAN 138 KV,BABCOCK-STILLWELL 345 KV AND XF 1,2018-05-21 08:00:00-04:00,2018-05-21 10:00:00-04:00
