dz_name,pn_name,confidence_tier,score,match_method,kv,dz_zone,pn_zone,n_candidates_considered,runner_up_pn_name,runner_up_score,s_name,s_topo,s_sig,s_zone,s_geo,n_fires,margin,frac_x_diff,unmatch_reason
L_WIRTZ_8_1Y,WIRTZ_138KV_1,anchor,1.0,transformer_impedance,138,BURNET     ,SCEN,0,,,,,,,,,,0.0,
L_SIMGID8_1Y,GIDEON_138KV_1,anchor,1.0,transformer_impedance,138,BASTROP    ,SCEN,0,,,,,,,,,,0.0,
L_MARSFO8_1Y,MARSFO_138KV_1,anchor,1.0,transformer_impedance,138,TRAVIS     ,SCEN,0,,,,,,,,,,0.0,
L_BANDER9_1Y,BANDER_69KV_1,anchor,1.0,transformer_impedance,69,BANDERA    ,SCEN,0,,,,,,,,,,0.0,
L_BANDER8_1Y,BANDER_138KV_1,anchor,1.0,transformer_impedance,138,BANDERA    ,SCEN,0,,,,,,,,,,0.0,
BLESSING4A,BLESSING_138KV_1,anchor,1.0,transformer_impedance,138,MATAGORDA_C,COAS,2,,,,,,,,,,6.0679611650546116e-05,
BLESSING7A,BLESSING_345KV_1,anchor,1.0,transformer_impedance,345,MATAGORDA_C,COAS,1,,,,,,,,,,6.0679611650546116e-05,
NCARBIDE2A,NCARBIDE_69KV_1,anchor,1.0,transformer_impedance,69,CALHOUN_COU,COAS,1,,,,,,,,,,4.726791453965778e-05,
NCARBIDE4A,NCARBIDE_138KV_2,anchor,1.0,transformer_impedance,138,CALHOUN_COU,COAS,2,,,,,,,,,,4.726791453965778e-05,
COLETO_1_8,LHSES_138KV_1,anchor,1.0,transformer_impedance,138,E_GOLIAD   ,NCEN,2,,,,,,,,,,0.04321080270067518,
LAREDO2A,LAREDO_69KV_2,anchor,1.0,transformer_impedance,69,WEBB_COUNTY,SOUT,2,,,,,,,,,,0.0,
LAREDO4A,LAREDO_138KV_1,anchor,1.0,transformer_impedance,138,WEBB_COUNTY,SOUT,3,,,,,,,,,,0.0,
LA_PALMA4A,LA_PALMA_138KV_1,anchor,1.0,transformer_impedance,138,CAMERON_COU,SOUT,1,,,,,,,,,,0.0,
RIOHONDO4A,RIOHONDO_138KV_1,anchor,1.0,transformer_impedance,138,CAMERON_COU,SOUT,1,,,,,,,,,,0.0,
HARLINSW4A,HARLNSW_138KV_1,anchor,1.0,transformer_impedance,138,CAMERON_COU,SOUT,1,,,,,,,,,,0.0,
HARLINSW2A,HARLNSW_69KV_1,anchor,1.0,transformer_impedance,69,CAMERON_COU,SOUT,2,,,,,,,,,,0.0,
GARZA4A,GARZA_138KV_1,anchor,1.0,transformer_impedance,138,STARR_COUNT,SOUT,1,,,,,,,,,,0.0,
LONHILL7A,LON_HILL_345KV_1,anchor,1.0,transformer_impedance,345,NUECES_COUN,SOUT,2,,,,,,,,,,0.0,
KOCH_UP2A,KOCH_UP_69KV_1,anchor,1.0,transformer_impedance,69,NUECES_COUN,SOUT,1,,,,,,,,,,0.0,
HIWAY_92A,HIWAY_9_69KV_1,anchor,1.0,transformer_impedance,69,NUECES_COUN,SOUT,3,,,,,,,,,,0.0,
HIWAY_94A,HIWAY_9_138KV_1,anchor,1.0,transformer_impedance,138,NUECES_COUN,SOUT,1,,,,,,,,,,0.0,
FALFUR2A,ELMOT_69KV_1,anchor,1.0,transformer_impedance,69,BROOKS_COUN,NCEN,2,,,,,,,,,,0.0018331805682860287,
FALFUR4A,ELMOT_138KV_1,anchor,1.0,transformer_impedance,138,BROOKS_COUN,NCEN,1,,,,,,,,,,0.0018331805682860287,
SANDHSYD,SANDHSYD_138KV_1,anchor,1.0,transformer_impedance,138,TRAV-AEU   ,SCEN,1,,,,,,,,,,0.0,
GARFIELD,GARFIELD_138KV_1,anchor,1.0,transformer_impedance,138,BAST-AEU   ,SCEN,1,,,,,,,,,,0.0,
GARFIE34,GARFIELD_345KV_1,anchor,1.0,transformer_impedance,345,BAST-AEU   ,SCEN,1,,,,,,,,,,0.0,
MCNEIL,MCNEIL_69KV_1,anchor,1.0,transformer_impedance,69,TRAV-AEU   ,SCEN,1,,,,,,,,,,0.0,
MCNEIL_MB3,MCNEIL_138KV_1,anchor,1.0,transformer_impedance,138,TRAV-AEU   ,SCEN,4,,,,,,,,,,0.0,
PE_MB1,PEDERNAL_138KV_1,anchor,1.0,transformer_impedance,138,TRAV-AEU   ,SCEN,609,,,,,,,,,,0.0,
PE_MB2,PEDERNAL_69KV_1,anchor,1.0,transformer_impedance,69,TRAV-AEU   ,SCEN,134,,,,,,,,,,0.0,
KINGSMB1,KINGSBER_138KV_1,anchor,1.0,transformer_impedance,138,TRAV-AEU   ,SCEN,1,,,,,,,,,,0.0,
KINGSBRY,KINGSBER_69KV_1,anchor,1.0,transformer_impedance,69,TRAV-AEU   ,SCEN,1,,,,,,,,,,0.0,
NORTHL_MB1,NORTHLAN_138KV_1,anchor,1.0,transformer_impedance,138,TRAV-AEU   ,SCEN,4,,,,,,,,,,0.0,
AUSTROP,AUSTRO_138KV_1,anchor,1.0,transformer_impedance,138,TRAV-AEU   ,SCEN,3,,,,,,,,,,0.0,
WCPP_3_5,WCPP_345KV_3,anchor,1.0,transformer_impedance,345,E_WISE     ,NCEN,3,,,,,,,,,,0.0,
EAGLEMNT1_T8,EMSES_138KV_1,anchor,1.0,transformer_impedance,138,O_TARRANT  ,NCEN,0,,,,,,,,,,4.547314810608886e-05,
WLFHOSTR,WHCCS_345KV_1,anchor,1.0,transformer_impedance,345,O_HOOD     ,NCEN,1,,,,,,,,,,0.0,
ENNSTRAC_8,ETCCS_138KV_1,anchor,1.0,transformer_impedance,138,O_TARRANT  ,NCEN,0,,,,,,,,,,0.0,
LKHB_2T8,LHSES_138KV_1,anchor,1.0,transformer_impedance,138,O_DALLAS   ,NCEN,2,,,,,,,,,,6.811525100464992e-05,
MTCK_6T8,MCSES_138KV_1,anchor,1.0,transformer_impedance,138,O_DALLAS   ,NCEN,1667,,,,,,,,,,0.0,
MTCK_7T8,MCSES_138KV_1,anchor,1.0,transformer_impedance,138,O_DALLAS   ,NCEN,1667,,,,,,,,,,0.0,
MTCK_8T8,MCSES_138KV_1,anchor,1.0,transformer_impedance,138,O_DALLAS   ,NCEN,1667,,,,,,,,,,0.0,
SANDYCRK_5,SCES_345KV_1,anchor,1.0,transformer_impedance,345,E_MCLENNAN ,NCEN,0,,,,,,,,,,0.0,
BRYN_ATK69,ATKINS_69KV_1,anchor,1.0,transformer_impedance,69,BRYAN      ,EAST,0,,,,,,,,,,0.0,
BRYN_ATK138,ATKINS_138KV_1,anchor,1.0,transformer_impedance,138,BRYAN      ,EAST,0,,,,,,,,,,0.0,
BRYN_DSBY69,DANSBY_69KV_1,anchor,1.0,transformer_impedance,69,BRYAN      ,EAST,0,,,,,,,,,,0.0,
TNCLIMAX__0,CLIMAX_69KV_2,anchor,1.0,transformer_impedance,69,TNP_CLMX   ,NCEN,0,,,,,,,,,,0.0,
TNCLIMAX__1,CLIMAX_138KV_1,anchor,1.0,transformer_impedance,138,TNP_CLMX   ,NCEN,0,,,,,,,,,,0.0,
WOODWRD2_1_8,WOODWRD2_138KV_1,anchor,1.0,transformer_impedance,138,E_PECOS    ,FWES,2,,,,,,,,,,0.0,
AMOCOOIL_1_8,FEGC_138KV_1,anchor,1.0,transformer_impedance,138,E_TNMP_PUN ,COAS,6,,,,,,,,,,0.01572739187418095,
